Zeitstempel Wetter,Zeitstempel Read,Zeit,Anwesenheit,TAmb,FAmb,AM,WF,PNH,PH,BAmb,PNV,T01,B01,B02,B03,F01,QHeizung,QKuehlung,QBeleuchtung,HT_SP,CL_SP,LX_USP,LX_LSP,L01,L02,HT_TC,CL_TC,Shadestep,SSD,SST,SSI3,Stoerung,L01_NN,L02_NN,SS_NN,HT_TC_NN,CL_TC_NN,reward
1514761200,1514761200,2018-01-01 00:00:00,1,8.7046,74.4104,1.145361,159.1574,-2.371338,-0.08894089,0.44385920000000006,-1.225024,20.0,0.0,0.0,0.0,30.11970340521506,0.08240484467831795,0.0,0.0,20,26,inf,500,0.0,0.0,20,24,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1514761800,1514761800,2018-01-01 00:10:00,1,8.8584,73.82356999999999,1.188012,152.5659,-1.038429,0.0020197039999999998,0.4439084,-0.6045894,20.0,620.0,110.0,35.0,30.58776208792191,0.08132992734684251,0.0,0.0235,20,26,inf,500,1.0,0.0,20,25,0.0,2,0,0,0.0,1.0,0.0,0.0,-0.56614983,-1.9325963,0.11479243623647035
1514762400,1514762400,2018-01-01 00:20:00,1,9.1988,72.17381999999999,1.6087790000000002,211.887,-1.383418,-0.04849754,0.4439576,-0.6382609,20.0,620.0,110.0,35.0,31.010050747654237,0.07925518397115322,0.0,0.0235,20,26,inf,500,1.0,0.0,20,26,0.0,2,0,0,0.0,1.0,0.0,0.0,-0.25674552,-0.024274498,0.11525349031995685
1514763000,1514763000,2018-01-01 00:30:00,1,9.5364,70.82930999999999,1.314431,190.5241,-0.2020807,-0.05051724,0.4440396,-0.01586957,20.0,620.0,110.0,35.0,31.41062187579893,0.07702426460043664,0.0,0.0235,20,26,inf,500,1.0,0.0,20,26,0.0,2,0,0,0.0,1.0,0.0,0.0,-0.5751879,-0.5815854,0.11574925018011607
1514763600,1514763600,2018-01-01 00:40:00,1,10.0226,68.97958,1.374524,118.4192,0.28050959999999997,-0.07078818,0.4440888,0.28741550000000005,20.0,620.0,110.0,35.0,31.794366649149566,0.07323854616610961,0.0,0.0235,20,26,inf,500,1.0,0.0,20,26,0.0,2,0,0,0.0,1.0,0.0,0.0,-0.9737931999999999,-0.15841231,0.11659052094329984
1514764200,1514764200,2018-01-01 00:50:00,1,10.3282,67.9595,2.080078,232.0485,-0.0818896,-0.10509849999999998,0.4440888,0.04161836,20.0,620.0,110.0,35.0,32.16441475507468,0.07163592320733521,0.0,0.0235,20,26,inf,500,1.0,0.0,20,26,1.0,7,10,255,0.0,1.0,0.0,1.0,-0.4953581,-0.88493687,0.11694665937858305
1514764800,1514764800,2018-01-01 01:00:00,1,9.5572,76.37116999999999,1.622261,167.9528,-3.319172,0.01618227,0.4439576,-1.7384060000000001,20.0,620.0,110.0,35.0,32.574285238492266,0.08864506298724993,0.0,0.0235,20,26,inf,500,1.0,0.0,20,27,0.0,2,0,0,0.0,1.0,0.0,0.0,-0.8537690999999998,1.0247802,0.11316685053860205
1514765400,1514765400,2018-01-01 01:10:00,1,8.548,86.21921999999999,0.6592209,209.476,-2.216263,0.01214286,0.44379359999999995,-2.087295,20.0,620.0,110.0,35.0,33.17047513387282,0.09441980761603658,0.0,0.0235,20,26,inf,500,1.0,0.0,20,27,0.0,2,0,0,0.0,1.0,0.0,0.0,-0.6559706999999999,1.4341228000000001,0.11188357395442723
1514766000,1514766000,2018-01-01 01:20:00,1,8.134,90.2485,0.5686295,201.4874,-1.721444,0.03034483,0.443892,-1.7800479999999999,20.0,620.0,110.0,35.0,33.83087276323987,0.09739502208741707,0.0,0.0235,20,26,inf,500,1.0,0.0,20,26,0.0,2,0,0,0.0,1.0,0.0,0.0,-0.5367704000000001,0.46819896,0.11122241518300932
1514766600,1514766600,2018-01-01 01:30:00,1,7.9578,91.49461,0.1552434,130.5994,-1.9130790000000002,0.08692118,0.44385920000000006,-1.554058,20.0,620.0,110.0,35.0,34.475610005259696,0.09845222928729913,0.0,0.0235,20,26,inf,500,1.0,0.0,20,28,1.0,7,10,255,0.0,1.0,0.0,1.0,-0.5771998,2.8590527000000003,0.1109874802497022
1514767200,1514767200,2018-01-01 01:40:00,1,8.4328,89.4239,2.633808,262.6013,-1.027983,-0.01009852,0.443892,-0.9653623,20.0,620.0,110.0,35.0,35.10169668623293,0.09494851012962163,0.0,0.0235,20,26,inf,500,1.0,0.0,20,26,0.0,2,0,0,0.0,1.0,0.0,0.0,-0.5785505,-0.057604134,0.11176608450696388
1514767800,1514767800,2018-01-01 01:50:00,1,8.5664,87.04108000000001,2.039486,238.1454,-1.322463,0.02625616,0.4438428,-0.8325604,20.0,620.0,110.0,35.0,35.628061957636454,0.09431028525330727,0.0,0.0235,20,26,inf,500,1.0,0.0,20,26,1.0,7,10,255,0.0,1.0,0.0,1.0,-0.314264,0.30161202,0.11190791225725594
1514768400,1514768400,2018-01-01 02:00:00,1,8.808,83.32714,2.850259,236.2377,-1.129045,0.03842365,0.44385920000000006,-0.7235265999999999,20.0,620.0,110.0,35.0,36.06516913661691,0.10625767770702167,0.0,0.0235,20,26,inf,500,1.0,0.0,20,27,0.0,2,0,0,0.0,1.0,0.0,0.0,-0.51226485,1.0222492,0.10925293615643053
1514769000,1514769000,2018-01-01 02:10:00,1,8.7358,81.69740999999999,2.093116,104.6399,-0.9635244000000001,0.02022167,0.44381000000000004,-0.6739371999999999,20.0,620.0,110.0,35.0,36.373761451581956,0.10597391888869284,0.0,0.0235,20,26,inf,500,1.0,0.0,20,26,0.0,2,0,0,0.0,1.0,0.0,0.0,-0.39104432,0.37209840000000005,0.10931599367161472
1514769600,1514769600,2018-01-01 02:20:00,1,8.691,78.92801999999999,4.180371,212.4823,-0.9304034,0.03438424,0.44385920000000006,-0.7136232,20.0,620.0,110.0,35.0,36.57772481879967,0.1064614822276358,0.0,0.0235,20,26,inf,500,1.0,0.0,20,26,0.0,2,0,0,0.0,1.0,0.0,0.0,-0.75758326,-0.46184188,0.10920764626296073
1514770200,1514770200,2018-01-01 02:30:00,1,8.4928,78.13253,2.836909,189.9106,-1.2544799999999998,0.01817734,0.4438755999999999,-0.8583091999999999,20.0,620.0,110.0,35.0,36.64592769005107,0.10758243069207002,0.0,0.0235,20,26,inf,500,1.0,0.0,20,26,0.0,2,0,0,0.0,1.0,0.0,0.0,-0.47548628,0.815091,0.10895854660419756
1514770800,1514770800,2018-01-01 02:40:00,1,8.3524,76.4863,3.00155,171.9317,-1.177834,-0.01820197,0.44381000000000004,-0.8206521999999999,20.0,620.0,110.0,35.0,36.62416319198362,0.1085946094355114,0.0,0.0235,20,26,inf,500,1.0,0.0,20,28,0.0,2,0,0,0.0,1.0,0.0,0.0,-0.6327421999999999,2.6490521,0.10873361799454392
1514771400,1514771400,2018-01-01 02:50:00,1,8.1048,76.82928000000001,1.931083,162.1693,-1.3520590000000001,-0.0020197039999999998,0.4437608,-0.9395652,20.0,620.0,110.0,35.0,36.54026216385228,0.11110792405262628,0.0,0.0235,20,26,inf,500,1.0,0.0,20,27,1.0,7,10,255,0.0,1.0,0.0,1.0,-0.3444795,1.1653411,0.10817510363518508
1514772000,1514772000,2018-01-01 03:00:00,1,7.9110000000000005,78.75089,2.039485,184.5042,-2.198832,0.0060591130000000005,0.44372799999999996,-1.248792,20.0,620.0,110.0,35.0,36.46572844766444,0.124750167335387,0.0,0.0235,20,26,inf,500,1.0,0.0,20,26,0.0,2,0,0,0.0,1.0,0.0,0.0,-0.46926480000000004,-0.53377926,0.1051434940167938
1514772600,1514772600,2018-01-01 03:10:00,1,7.7752,80.03703,2.094732,142.7722,-2.214501,-0.05458128,0.44372799999999996,-1.276522,20.0,620.0,110.0,35.0,36.44072244198456,0.1260310845284196,0.0,0.0235,20,26,inf,500,1.0,0.0,20,26,1.0,7,10,255,0.0,1.0,0.0,1.0,-0.49175045,-0.64327794,0.10485884575167542
1514773200,1514773200,2018-01-01 03:20:00,1,7.79,80.40303,2.463115,209.0724,-2.146582,-0.02628079,0.4437608,-1.163575,20.0,620.0,110.0,35.0,36.415194564694204,0.12592893039489053,0.0,0.0235,20,26,inf,500,1.0,0.0,20,26,1.0,7,10,255,0.0,1.0,0.0,1.0,-0.34138685,0.9869975000000001,0.10488154667023744
1514773800,1514773800,2018-01-01 03:30:00,1,7.9244,78.91251,2.618276,258.5886,-1.407813,-0.04852217,0.44381000000000004,-0.8047826,20.0,620.0,110.0,35.0,36.388663682347065,0.12454069957203392,0.0,0.0235,20,26,inf,500,1.0,0.0,20,28,0.0,2,0,0,0.0,1.0,0.0,0.0,-0.7746526999999999,2.388611,0.10519004240865004
